Data Center Name,Address Name ,Street Number ,Street Name,Zip code,City,State ,Lattitude,Longitude,Description,,,,
1215 Integrity Drive (DFW25),Digital Realty,1215,Integrity Drive,75081,Richardson,Texas,33,-96.71445995,"Located in the North Dallas high technology corridor, 1215 Integrity Drive is a single-story data center facility situated on the southwest corner of the 69-acre Digital Dallas data campus. Totaling approximately 112,258 sq. ft., the building was constructed in 2012 and is the first Digital Realty ground-up data center building constructed on the campus. The property is fully leased with 50% of the leased premises expiring 9/30/27 and 50% expiring 7/31/30. Electrical service to the park is distributed from a dedicated, privately owned substation capable of delivering up to 100 MW of power. Telecommunications service is provided by nine different fiber providers currently located within the park.",,,,
Cologix DAL3,Cologix,1950,"North Stemmons Freeway
Suite 2004",75207,Dallas,Texas,33,-96.81900414,"Flexible, Physical and Virtual Connections to the Cloud
Cologix’s newest interconnection hub in Dallas offers an additional 13K SQFT in the renowned Infomart, the region’s premier carrier hotel and most densely connected building within a 900-mile radius. DAL3 offers 2.25 MW of power, direct onramps to Amazon Web Services® Direct Connect and Microsoft® Azure ExpressRoute and on-demand, virtual cloud access through Cologix Access Marketplace.",,,,
950 E. Collins Boulevard (DFW29),Digital Realty,950,E. Collins Boulevard,75081,Richardson,Texas,33,-96.70958977,"950 E. Collins is a 121,370 SF free-standing building located in Digital Realty's 69-acre data campus known as Digital Dallas. The project is located in the epicenter of North Dallas' high technology corridor, with electrical service to the park distributed via a dedicated, privately owned, substation capable of delivering up to 100 MW of power. Telecommunications service is provided by nine different fiber providers currently located in the park. 950 E. Collins is planned as a multi-tenant facility with approximately 60,000 sq. ft. of raised floor space and 6.75 MW of IT load. It is available for lease on a Turn-Key Flex basis.",,,,
Stream DC DFW VII - Garland,Stream Data Centers,1813,Lookout Drive,75044,Garland,Texas,33,-96.6546325,"Stream Data Centers' newly constructed DFW VII facility is an expandable 138,132 SF data center with a new on-site Oncor substation and dual (2) dedicated underground 40 MW utility feeds, predesigned to support full capacity of the campus.

Ultimately, in future phases, the campus will total approximately 400,000 square feet of data center space. Today Stream's DFW VII data center features:


HIGHLIGHTS:

- A 22.66-acre site in Garland, Texas located on Lookout Drive, in close proximity to robust Northeast Dallas, Richardson and Garland amenities, power and fiber infrastructure.

- Initial 138,132 square-foot structurally enhanced facility with land available for multiple phases, and 75,000 square feet of fully commissioned data hall space.

- Two (2) 40 MW utility feeds from a new on-site Oncor substation offering power at competitive transmission rates, and options for renewable energy.

- Two (2) diverse telco entrances, with multiple fiber providers and a strong mix of local, long haul and dark fiber providers to the site through multiple routes.

- Designed to meet or exceed size and capital investment requirements under House Bill 1223 sales tax exemption program.

- Optimal location outside of flight paths, railways and FEMA 500-year flood plain.

- Multiple network service providers are engaged for diverse dark fiber paths back to the major carrier hotels and cloud interconnection locations, allowing our customers to expand beyond the providers that are in the immediate area with access to 100+ network and cloud providers.",,,,
2440 Marsh Lane (DFW12),Digital Realty,2440,Marsh Lane,75006,Carrollton,Texas,33,-96.8539841,,,,,
Hivelocity - Dallas 1,Hivelocity,1515,Round Table Dr,75247,Dallas,Texas,33,-96.8784099,"Hivelocity was founded in 2002 by a few guys with a single mission to create an exceptional company with a singular focus on simplifying hosting. Starting with a single rack of servers located in the quintessential basement, (every great start-up story starts in a basement or garage after all) our vision was to build a hosting company that not only supported customer growth but fostered it as well. Our philosophy back in 2002 is the same as it is today, the more successful our customers are the more successful we will be. Hivelocity's goal has always been to do whatever possible, whenever possible to put our customers in the best position to succeed, with the simple hope that our customer's success would eventually lead to them needing more of our services.

Our deliberate effort to focus only on the customer's needs and success has led us from the single rack of servers in that dingy basement to operating 8 world-class data centers totaling over 70,000 square feet across Florida, Georgia, New York, Texas, California, and Washington State. Today we maintain and manage over 15,000 physical and virtualized servers and provide managed solutions on dedicated servers, virtual servers and private cloud. Each of our data centers is SSAE-16 SOC1 and SOC2 certified with HIPAA and PCI compliant services also available. Hivelocity is privately held and currently employs 80 of the brightest technicians, engineers and programmers in the business.

Through all of the growth and all of the added service offerings our mission has never changed provide our customers with a solution and environment that puts them in the best position to succeed. To us this means providing incredibly reliable solutions that allow our customers to focus on running their business. It means providing a level of customer service and support that far exceeds their expectations. It means always considering the customer's user experience first in everything we do and offer. Lastly, it means doing all of these things at a price point that enables their businesses to flourish.

To provide the ultimate user experience through exceptional customer service, flawless reliability and extraordinary innovation. Today and always.",,,,
907 Security Row (DFW35),Digital Realty,907,Security Row,75081,Richardson,Texas,33,-96.71001286,,,,,
Flexential Dallas - Plano Data Center,Flexential,3500,E Plano Pkwy,75074,Plano,Texas,33,-96.66623738,"Built to accommodate power densities of 1,500 W per square foot, our generation 4 Dallas - Plano data center offers proprietary & highly efficient cooling & 261,400+ square feet of gross building capacity - ample room for your growth.

Our Dallas - Plano facility features:

- 261,425 square-foot data center footprint
- 1500+ watts per square foot power density
- 100% SLA on power, cooling, network and bandwidth

Flexential empowers the IT journey of the nation's most complex businesses by offering flexible and tailored hybrid IT solutions comprised of colocation, cloud, connectivity, data protection, managed, and professional services. The company builds on a platform of three million square feet of data center space in 19 highly connected markets, and on its 100Gbps private backbone to meet the most stringent challenges in security, compliance, and resiliency. See how Flexential goes beyond the four walls of the data center to empower IT through an interactive map found on www.flexential.com.",,,,
Flexential Dallas - Downtown Data Center,Flexential,1950,Stemmons Freeway,75207,Dallas,Texas,33,-96.8194987,"Five data centers. One location. Our Dallas - Downtown complex is designed with a single focus: protecting your mission-critical data and applications. Our facility is 80,000+ square feet and backed by our 100% network and bandwidth uptime commitment.

Our Dallas - Downtown facility features:

- 80,447 square-foot data center footprint
- 150+ watts per square foot power density
- 100% SLA on power, cooling, network and bandwidth

Flexential empowers the IT journey of the nation's most complex businesses by offering flexible and tailored hybrid IT solutions comprised of colocation, cloud, connectivity, data protection, managed, and professional services. The company builds on a platform of three million square feet of data center space in 19 highly connected markets, and on its 100Gbps private backbone to meet the most stringent challenges in security, compliance, and resiliency. See how Flexential goes beyond the four walls of the data center to empower IT through an interactive map found on www.flexential.com.",,,,
4849 Alpha Road (DFW14),Digital Realty,4849,Alpha Road,75244,Dallas,Texas,33,-96.82796352,,,,,
908 Quality Way (DFW20),Digital Realty,908,Quality Way,75081,Richardson,Texas,33,-96.709869,,,,,
904 Quality Way (DFW21),Digital Realty,904,Quality Way,75081,Richardson,Texas,33,-96.71161213,,,,,
Flexential Dallas - Richardson Data Center,Flexential,3010,Waterview Parkway,75080,Richardson,Texas,33,-96.75271723,"Our Dallas - Richardson data center offers secure, reliable colocation, cloud, connectivity and DR solutions over our 100 Gbps network backbone. The facility is certified for compliance with HITRUST CSF & PCI DSS & more regulatory standards.

Our Dallas - Richardson facility features:

- 100,807 square-foot data center footprint
- 240+ watts per square foot power density
- 100% SLA on power, cooling, network and bandwidth

Flexential empowers the IT journey of the nation's most complex businesses by offering flexible and tailored hybrid IT solutions comprised of colocation, cloud, connectivity, data protection, managed, and professional services. The company builds on a platform of three million square feet of data center space in 19 highly connected markets, and on its 100Gbps private backbone to meet the most stringent challenges in security, compliance, and resiliency. See how Flexential goes beyond the four walls of the data center to empower IT through an interactive map found on www.flexential.com.",,,,
2501 S. State Highway 121 (DFW26),Digital Realty,2501,S. State Highway 121,75056,Lewisville,Texas,33,-96.99959008,"Digital Convergence comprises 829,372 sq. ft. on 168.4 acres, including 60 acres of additional land for future development, located in Lewisville, Texas, which competes in the Northwest Dallas submarket. The property was originally developed by Texas Instruments. The campus consists of ten large-box building connected to a central utility plant (CUP) by a central spine. Buildings 1, 11 and part of 3 are two stories with the remaining buildings single-story.",,,,
Stream DC DFW-VIII - Wilmer,Stream Data Centers,60,Sunrise Road,75146,Wilmer,Texas,33,-96.700931,"Stream Data Centers' DFW-VIII is a state-of-the-art facility located on a 77-acre hyperscale campus in South Dallas County. This build-to-suit development is designed to support 90 MW and 690,000 SF at full build, with construction currently underway. The data center benefits from a new on-site Oncor substation, ensuring reliable utility power and robust fiber infrastructure.

The DFW-VIII facility offers a unique balance of speed to market, flexibility, and resiliency. It is strategically located away from flight paths, railways, and FEMA 500-year flood plains, providing an optimal site for data center operations. The campus features dual dedicated underground 40 MW utility feeds, pre-designed to support the full capacity of the campus, and offers 100% renewable power options at competitive transmission rates.

Tenants at DFW-VIII will enjoy a network-rich environment with a strong mix of local, long haul, and dark fiber providers. The data center is designed with closed-loop chillers to enhance water usage effectiveness (WUE) and boasts less than 1 ms roundtrip latency to major carrier hotels. Additionally, it is constructed to meet or exceed the Texas State Data Center Sales Tax Exemption program size and capital investment requirements, offering significant tax incentives.",,,,
Datacenter Park - Dallas,Digital Realty,900-908 ,Quality Way,75081,Richardson,Texas,33,-96.71265689,,,,,
CyrusOne DFW1 - Carrollton,CyrusOne Data Centers,1649,Frankfort Road West,75007,Carrollton,Texas,33,-96.93170131,"CyrusOne (NASDAQ: CONE) specializes in highly reliable enterprise-class, carrier-neutral data center properties. The company provides mission-critical data center facilities that protect and ensure the continued operation of IT infrastructure for more than 500 customers, including nine of the global Fortune 20 and more than 100 of the Fortune 1000 companies.

CyrusOne’s data center offerings provide the flexibility, reliability, and security that enterprise customers require and are delivered through a tailored, customer service-focused platform designed to foster long-term relationships. CyrusOne's internet interconnection platform provides robust connectivity options for enterprises, content, and telecommunications companies. CyrusOne is committed to full transparency in communication, management, and service delivery throughout its 25 data centers worldwide.",,,,
NTT Dallas TX1,NTT Global Data Centers,2008,Lookout Drive,75044,Garland,Texas,33,-96.65736824,"NTT Dallas TX1, the first of five planned data centers on NTT's 42-acre Dallas campus, is perfect for deployments of all sizes with wholesale dedicated vaults, build-to-suit solutions, and retail colocation cages and secure racks available.

Space and location:
- 118,000 sq. ft. of data hall space
- Located in Garland, Texas, conveniently located off of the President George Bush Turnpike with easy access from local airports

Power:
- 16MW of critical IT load
- 1MW, 2MW, 3MW and 5MW customizable private suites and cages
- 100% renewable energy packages available

Connectivity:
- Carrier-neutral data center with three diverse fiber entrances
- Multiple Tier-1 carriers on-site, along with access to many major telecom and cloud providers

Cooling:
- Waterless cooling using indirect air exchange heat wheel cooling technology

Security:
- Multi-factor authentication and multi-level security zones
- Intelligent high-definition video surveillance system with 100+ real-time security feeds
- Anti-climb perimeter fence",,,,
Prime Dallas Data Center Campus,Prime Data Centers,1515,Round Table,75247,Dallas,Texas,33,-96.87849573,"Prime Data Centers brings a focus on connectivity and sustainability to their Dallas data center campus. Featuring two facilities spanning 19 critical megawatts, the campus is designed to support the dynamic growth of technology-driven organizations within the region.

The Dallas location offers access to renewable energy sources and near-zero Water Usage Effectiveness (WUE), demonstrating Prime's commitment to environmentally conscious data center solutions. Companies seeking a strategic base for expansion in the data center capital of the midwest, Prime's Dallas campus a compelling option.",,,,
TierPoint Dallas,TierPoint,3004,Irving Blvd,75247,Dallas,Texas,33,-96.85761861,"Since 2000, businesses in North Texas, across the US, and around the globe have relied on TierPoint in Dallas to connect and protect their most critical IT assets. With 68,000 square feet of environmentally controlled, secure data center space, the facility offers true 2N power and multi-homed connectivity from leading carriers. Solutions offered include cloud, colocation and managed services.

TierPoint Texas (formerly Colo4) delivers seamless data center migration & installation a full suite of managed security services comprehensive business continuity and managed backup in a state-of-the-art 68,000 sq ft facility, backed by a proven, dedicated staff 24x7x365.",,,,
CyrusOne DFW3 - Allen,CyrusOne Data Centers,2300,Chelsea Blvd,75013,Allen,Texas,33,-96.65981276,"Strategically located in Allen, Texas, CyrusOne’s newest Dallas DFW3 data center is 976,000 square feet and contains 580,000 square feet of raised floor/white space at full build-out. The facility is purpose-built, offering industry-leading efficiencies, the latest cooling technology, uniquely low PUEs, and multilayer security. With over 90 acres, at full build, CyrusOne’s DFW3 campus is the largest data center campus in Texas.",,,,
Prime Dallas - Data Center 1,Prime Data Centers,1515,Round Table,75247,Dallas,Texas,33,-96.8784186,"Prime Dallas (1) is a 7.5-megawatt (critical), purpose-built data center in Dallas, Texas. The first of two planned campus data centers, this facility offers diverse colocation capabilities for a wide range of workloads and proximity to Infomart for unmatched regional connectivity options. Customers may lease shared cabinets up to a dedicated suites.",,,,
TierPoint Dallas - Fort Worth,TierPoint,13701,Independence,76177,Fort Worth,Texas,33,-96.85563459,"Just minutes from DFW International Airport, TierPoint's Dallas-Fort Worth data center showcases cutting-edge design and innovation, offering flexibility to meet the diverse needs of businesses - from server racks to high-density cabinets for high-performance/GPU compute requirements.

High Performance
This secure facility promises guaranteed exceptional performance and low-latency connections. Additionally, this TierPoint location is connected via DWDM to two more data centers in the region—Dallas-Allen and Dallas-Irving, further reinforcing its connectivity density, robust infrastructure and service capabilities.

Strategic Location
Known as a business-friendly state with strong economic growth prospects, Texas has no state income tax. In addition, Texas incentivizes businesses to locate data centers in the state by providing sales tax relief for qualifying purchases. Dallas has a low seismic rating (zone 1) indicating a lower risk for earthquakes that could impact a data center.",,,,
DataBank DFW1 - Downtown Dallas,DataBank,400,S. Akard Suite 100,75202,Dallas,Texas,33,-96.79830073,"General Specifications:

* Top-tier Dallas facility sites with available capacity & power for immediate move-in
* 160,000 sq ft of occupied data center
* 40,000 sq ft of available data center

Security:

* 24/7/365 on site security
* Card access required to gain access to parking and building lobby
* Biometric hand scanner required for data center entry
* Annual SSAE 16 & PCI-DSS Audits

Cameras:

* Multiple 360 degree cameras with 10x zoom
* High speed recorders with DV cassette tapes
* Hard drives to eliminate down time for tape swaps and over recording
* Minimum 90 day tape storage

UPS & Generator Backup Power:

* True A+B (2N) power configurations
* All UPS and Generator deployments provide (2N) redundancy

Utility Power:

* Multiple utility feeds from the CBD grid
* 2(N+2) Transformers and feeds
* Feeds to building are concrete encased

HVAC Cooling System:

* Over 3500 Ton cooling tower capacity
* Data Center HVAC system includes (118) 30 Ton Liebert CRAC Units.
* Entire system is designed with at least N+1 redundancy
* 80,000 gallon reserve make-up water tank
* Liebert Leak Detect System",,,,
Tierpoint Dallas-Allen,TierPoint,820,Allen Commerce Parkway,75013,Allen,Texas,33,-96.65734369,"This new 30,000 sq. ft facility in the thriving Allen-Dallas area includes the following specs:

-SSAE-I6 SOC I, Type II
-48-in. raised floors
-16,000 sq. ft. of raised floor
- Sole tenant in a single-story building
- PPOP: Dedicated 2N split system HVAC
- Sole tenant in single-story building
- N+I KyotoCooling wheel HVAC cooling units with
- air-side economizers
- Uptime Institute Tier III Certified
- USGBC Leed Certified

This data center is connected to TierPoint’s private, internal network providing numerous replication and online backup options, plus easy access to a full suite of managed services. In addition, this facility is audited annually under ITAR, EU-US Privacy, SOC 1, SOC 2, HIPAA, PCI-DSS*, and GLBA.

Allen is a high-tech community in the rapidly growing US 75/State Highway 121 corridor, offering easy access from all points in North Texas.",,,,
Prime Dallas - Data Center 2,Prime Data Centers,1517,Round Table,75247,Dallas,Texas,33,-96.8575896,"Prime Dallas (2) is a 12-megawatt (critical), purpose-built data center in Dallas, Texas. The second of two planned campus data centers, this facility offers sustainable wholesale data center capacity and high-density cooling capability for modern workloads like AI. Also, enjoy proximity to Infomart for unmatched regional connectivity options. Customers may lease dedicated data halls up to the entire facility.",,,,
Evocative DAL6,Evocative Data Centers,1221,Coit Road,75075,Plano,Texas,33,-96.76864112,"Previously known as Internap Dallas and later INAP Dallas. Acquired by Evocative in 2022.

-----------------------

Internap Corporation (NASDAQ: INAP) is a leading-edge provider of high-performance data center and cloud solutions with over 100 network Points of Presence worldwide. INAP's full-spectrum portfolio of high-density colocation, managed cloud hosting and network solutions supports evolving IT infrastructure requirements for customers ranging from the Fortune 500 to emerging startups. INAP operates in 21 metropolitan markets, primarily in North America, with data centers connected by a low-latency, high-capacity fiber network. INAP has over one million gross square feet in its portfolio, with approximately 600,000 square feet of sellable data center space.
For more information, visit www.INAP.com.",,,,
Alpha Data Center,M&A Technology Inc.,4407,Alpha Road,75244,Dallas,Texas,33,-96.83458688,"Available for immediate lease - wholesale or modular terms.

Recently renovated fully functional carrier class data center.

Network: 8 Fibre providers - Level3, ATT, Verizon, TW telecom, Zayo, XO Communications, Fiberlight; Logix

Power: 3 megawatts local Oncor substation with second substation in close proximity. Carrier class 8 hour duration battery redundancy and power generator. 4 x 1,200 amp 480v AC service and 500kva 48v DC service distributed.

Cooling: 14 Liebert DX units 390 Tons with outside condensers and plenum ceiling for better airflow through out server rooms.

Fire detection and suppression: VESDA smoke and fire detection system Multiple zoned detection and suppression system Double interlock dry pipe system throughout facility FM200 Gas System. Dual Roof System.

Centralized Data Center Management System connected to environmental and infrastructure devices. NOC and mobility enabled monitoring.

Rent $79. per KW per Month NNN. Power $0.039 per KWH plus TDU & taxes.

Call +1 214 735 6205 or email stewart.hair@macomp.com.",,,,
DataBank DFW2 - North Dallas,DataBank,904,Quality Way,75801,Dallas,Texas,33,-96.81812487,"General Specifications:

* Top-tier North Dallas facility with available capacity & power
* 65,000 sq ft building in Richardson, TX technology corridor
* 40,000 sq ft of available data center

Security:

* 24/7/365 on site security
* Card access required to gain access to parking and building lobby
* Biometric hand scanner required for data center entry
* Annual SSAE 16 & PCI-DSS Audits

Cameras:

* Multiple 360 degree cameras with 10x zoom
* High speed recorders with DV cassette tapes
* Hard drives to eliminate down time for tape swaps and over recording
* Minimum 90 day tape storage

UPS & Generator Backup Power:

* True A+B (2N) power configurations
* All UPS and Generator deployments provide (2N) redundancy

Utility Power:

* 20MW of incoming utility power in a (2N) redundant configuration
* Multiple utility feeds from the CBD grid
* 2(N+2) Transformers and feeds
* Feeds to building are concrete encased

HVAC Cooling System:

* Over 3500 Ton cooling tower capacity
* Data Center HVAC system includes high-efficiency Uni-Flare CRAH Units.
* Entire system is designed with at least N+1 redundancy
* 100,000 gallon reserve make-up water tank
* Liebert Leak Detect System",,,,
Evocative DAL1,Evocative Data Centers,2800,Summit Ave,75074,Plano,Texas,33,-96.67580125,"Evocative operates and maintains mission critical compute center facilities with significant plans for expansion in the top North American data center markets. Our expertise and redundant design deliver reliability and uptime to over 500 businesses every day.

At Evocative, we're know for our data center infrastructure expertise and 24x7x365 customer support. Evocative support center consists of highly trained engineers that monitor our systems around the clock, constantly overseeing the security and uptime of our mission critical IT load and infrastructure.

Evocative meets the rigorous security and protocol standards of HIPAA, PCI DSS, SSAE16, SOC2, and ISAE3402 and provides certified colocation services in all our locations.

Services Provided

Custom Cages and Cabinets

Evocative provides design and construction of custom cages for your project deployment.

Custom cages may include many options. Cooling can be enhanced through containment systems, and specialized floor tiles and cables to assist with the flow of air within hot aisles and cold aisles. Cage security can include sub floor meshing with cage top, bio scanners and badge readers, as well as high definition video cameras

Customers requiring 1-4 racks will be placed in our private cabinet dedicated spaces with assigned and lockable handles.

Remote Hands

Evocative smart hands support for your technical infrastructure

You can trust our trained experts to be your on-site hands, eyes, and ears all without worrying about budget or project time constraints. The Evocative remote hands and eyes service removes the need of staffing personnel at the data center as well eliminating after-hours on-site needs for your infrastructure.",,,,
365 Data Centers - Richardson,365 Data Centers,1001,East Campbell Road,75081,Richardson,Texas,33,-96.75282588,"Our Richardson data center offers a robust infrastructure design built for resiliency — including 2N UPS, generators, and chiller systems. In addition, 13 telecom providers provide carrier neutral services to our customers in this data center, with multiple, diverse points of entry.

The Richardson Data Center is located in Dallas’ Telecom Corridor, a strip along U.S. Route 75 between President George Bush Turnpike and Interstate 635. The Corridor is home to more than 5,700 companies, including significant players such as AT&T, Alcatel-Lucent, Ericsson, Verizon, Samsung, Texas Instruments, and MetroPCS.",,,,
Equinix DA1,Equinix,1950,North Stemmons Freeway Suite 1034,75207,Dallas,Texas,33,-96.81943714,Equinix helps companies accelerate business performance by connecting them to their customers and partners inside the world’s most networked data centers. Our Dallas data centers are business hubs for more than 200 companies. Our Dallas customers can choose from a broad range of network services from more than 95 providers. They can also interconnect directly to customers and partners in their digital supply chain.,,,,
CyrusOne DFW2 - Lewsiville,CyrusOne Data Centers,2501,"S. State Hwy 121 Business
Suite 500 (Bldg #5)",75067,Lewsiville,Texas,33,-96.99747768,"- 185 Acre Campus
- 1,100,000 sq feet space
- 85 Acres for Future Build-to-Suit  
- Nine Minutes From DFW Int'l Airport
- On-Site Electrical Substation Providing
- 2N Redundancy
- Two Independent Power Grids
- Fed by Three Separate Substations
- Transmission Lines Provide 210 MVA
- Two 42 MVA Transformers Within
- On-Site Substations
- 2N on Cooling Infrastructure
- Carrier Neutral Facility
- Multiple Carriers",,,,
DataBank DFW5 - Dallas Infomart,DataBank,1950,Stemmons Fwy,75207,Dallas,Texas,33,-96.81961812,"Previously known as zColo, part of Zayo Group. DataBank acquired all data center assets from Zayo Group in 2020.

---------------------------------------------------

Whether you're a business looking to colocate server equipment, or a carrier needing to expand your network, we have a colocation solution for you in our Dallas Data Center. Our facilities are designed for data and telecommunications equipment. We offer a carrier neutral secure environment with redundant cooling systems, UPS and generator back up. Our security includes 24x7 key card access and video surveillance. We have on-site staff and 24x7 on call staffing available.

Space & Connectivity
-10,085 square feet of data center space
-Suites, private cages and cabinets
-Carrier-neutral connectivity to 6 carriers in-suite and 30+ carrier within the building
-Diverse fiber entrances
-Connectivity to Zayo's national metro and longhaul fiber network
-Remote hands for on-site assistance

Reliability & Security
-Building powered by triverse substations
-UPS/DC power with battery back-up
-800kW diesel generator
-N+1 designed climate control and monitoring
-Smoke detection and pre-action sprinklers
-SLAs supported by geographically diverse NOCs
-Keycard access, video surveillance and 24x7 monitoring",,,,
